id,family,car,date,count
1,Chevrolet,Prizm,4/9/2017,70
2,Honda,S2000,11/10/2016,83
3,Ford,Expedition,4/4/2017,10
4,Saab,9-5,5/5/2014,47
5,Chrysler,New Yorker,8/17/2010,
6,Ford,Ranger,5/19/2014,79
7,Acura,NSX,4/16/2018,81
8,Jaguar,XJ,11/27/2018,22
9,Cadillac,Seville,12/17/2010,63
10,Toyota,RAV4,11/16/2017,37
11,Mercedes-Benz,SLK-Class,6/1/2012,23
12,Toyota,Tercel,12/13/2018,48
13,GMC,3500,7/12/2018,95
14,Chevrolet,Suburban 2500,11/6/2014,35
15,Ford,Excursion,1/22/2011,10
16,Lotus,Esprit Turbo,1/4/2017,91
17,Chevrolet,Silverado 2500,4/3/2019,11
18,Volkswagen,Jetta,12/21/2017,97
19,Nissan,Maxima,3/16/2010,73
20,GMC,Yukon Denali,8/31/2011,
21,MINI,Countryman,8/23/2015,
22,Eagle,Summit,7/14/2017,79
23,Mercedes-Benz,190E,11/5/2012,97
24,Jeep,Wrangler,9/10/2013,62
25,Subaru,Legacy,4/27/2019,95
26,Maybach,Landaulet,9/5/2014,43
27,Dodge,Intrepid,9/13/2017,
28,Saturn,S-Series,11/24/2016,72
29,Subaru,Alcyone SVX,5/4/2012,58
30,Mercedes-Benz,S-Class,3/31/2011,95
31,Nissan,GT-R,12/28/2011,20
32,Ford,F350,1/26/2017,77
33,Mitsubishi,Montero,2/16/2013,43
34,Ford,Five Hundred,5/28/2010,81
35,Porsche,911,2/13/2010,93
36,Mitsubishi,Chariot,9/24/2017,26
37,Subaru,Forester,11/27/2017,53
38,BMW,X3,11/27/2012,
39,Mercedes-Benz,W126,3/23/2018,85
40,Pontiac,Safari,11/1/2016,94
41,Ferrari,612 Scaglietti,8/3/2010,84
42,Ford,E-Series,7/18/2019,60
43,BMW,X6,10/24/2014,57
44,Chevrolet,Tahoe,9/21/2018,
45,Volvo,S80,11/11/2014,48
46,Nissan,Altima,8/13/2010,15
47,Pontiac,Grand Am,12/14/2019,59
48,MINI,Clubman,2/23/2015,34
49,Honda,S2000,8/11/2017,14
